time [ms],value [mm]
4160,0.15079096
4165,0.15076987
4170,0.15084656
4175,0.15075119
4180,0.15062817
4185,0.15084456
4190,0.15066167
4195,0.15085184
4200,0.15063401
4205,0.15090843
4210,0.15063501
4215,0.15086210
4220,0.15075219
4225,0.15069232
4230,0.15072083
4235,0.15072681
4240,0.15083544
4245,0.15074691
4250,0.15084428
4255,0.15074592
4260,0.15080080
4265,0.15071826
4270,0.15075176
4275,0.15068048
4280,0.15065981
4285,0.15070443
4290,0.15070087
4295,0.15071969
4300,0.15072525
4305,0.15074720
4310,0.15081734
4315,0.15076231
4320,0.15065981
4325,0.15078697
4330,0.15070058
4335,0.15074307
4340,0.15066651
4345,0.15075276
4350,0.15070971
4355,0.15074235
4360,0.15079296
4365,0.15069232
4370,0.15073993
4375,0.15066124
4380,0.15073579
4385,0.15069645
4390,0.15071242
4395,0.15075846
4400,0.15081463
4405,0.15084884
4410,0.15073052
4415,0.15071983
4420,0.15079624
4425,0.15075903
4430,0.15075048
4435,0.15072810
4440,0.15080337
4445,0.15071299
4450,0.15075846
4455,0.15071969
4460,0.15074891
4465,0.15078740
4470,0.15071427
4475,0.15075875
4480,0.15069189
4485,0.15073936
4490,0.15071897
4495,0.15077229
4500,0.15075148
4505,0.15070343
4510,0.15083601
4515,0.15076431
4520,0.15071969
4525,0.15076359
4530,0.15082119
4535,0.15081862
4540,0.15079595
4545,0.15072382
4550,0.15069588
4555,0.15072582
4560,0.15080579
4565,0.15069588
4570,0.15080550
4575,0.15072496
4580,0.15072425
4585,0.15075176
4590,0.15075704
4595,0.15069745
4600,0.15066851
4605,0.15065283
4610,0.15072525
4615,0.15073437
4620,0.15069289
4625,0.15072054
4630,0.15075048
4635,0.15080707
4640,0.15066993
4645,0.15078270
4650,0.15078940
4655,0.15081277
4660,0.15073437
4665,0.15071142
4670,0.15073408
4675,0.15070800
4680,0.15073964
4685,0.15077158
4690,0.15080807
4695,0.15072525
4700,0.15070543
4705,0.15073679
4710,0.15073009
4715,0.15082917
4720,0.15088833
4725,0.15074264
4730,0.15076573
4735,0.15073964
4740,0.15071598
4745,0.15076459
4750,0.15077785
4755,0.15075846
4760,0.15074307
4765,0.15074192
4770,0.15066993
4775,0.15079196
4780,0.15072681
4785,0.15074036
4790,0.15074449
4795,0.15074891
4800,0.15070472
4805,0.15071370
4810,0.15074977
4815,0.15075019
4820,0.15065012
4825,0.15071242
4830,0.15071726
4835,0.15078213
4840,0.15076074
4845,0.15064000
4850,0.15078241
4855,0.15074919
4860,0.15073337
4865,0.15069816
4870,0.15085511
4875,0.15083672
4880,0.15075746
4885,0.15079923
4890,0.15074492
4895,0.15084057
4900,0.15083672
4905,0.15081862
4910,0.15069018
4915,0.15073793
4920,0.15073679
4925,0.15083245
4930,0.15080907
4935,0.15077229
4940,0.15077756
4945,0.15073337
4950,0.15080080
4955,0.15073893
4960,0.15071042
4965,0.15064798
4970,0.15068376
4975,0.15074720
4980,0.15076231
4985,0.15077714
4990,0.15077970
4995,0.15076716
5000,0.15084756
5005,0.15072981
